label,script,command,result,elapsed_ms,ok,notok,total,plan_total
w90-34be785b-wave-1,t0001-init.sh,init,FAIL,6889,102,1,103,103
w90-34be785b-wave-1,t1006-cat-file.sh,cat-file,PASS,9169,290,1,291,291
w90-34be785b-wave-1,t1430-bad-ref-name.sh,t1430-bad-ref-name.sh,PASS,2621,40,2,42,42
w90-34be785b-wave-1,t1506-rev-parse-diagnosis.sh,t1506-rev-parse-diagnosis.sh,PASS,1376,30,0,30,30
w90-34be785b-wave-1,t2024-checkout-dwim.sh,t2024-checkout-dwim.sh,FAIL,4481,21,2,23,23
w90-34be785b-wave-1,t3103-ls-tree-misc.sh,ls-tree,PASS,459,10,0,10,10
w90-34be785b-wave-1,t3311-notes-merge-fanout.sh,t3311-notes-merge-fanout.sh,PASS,23718,24,0,24,24
w90-34be785b-wave-1,t1700-split-index.sh,t1700-split-index.sh,PASS,3201,29,0,29,29
w90-34be785b-wave-1,t1508-at-combinations.sh,t1508-at-combinations.sh,PASS,1854,35,0,35,35
w90-34be785b-wave-1,t2030-unresolve-info.sh,t2030-unresolve-info.sh,PASS,4171,14,0,14,14
w90-34be785b-wave-1,t4068-diff-symmetric-merge-base.sh,t4068-diff-symmetric-merge-base.sh,PASS,1936,36,0,36,36
w90-34be785b-wave-1,t5408-send-pack-stdin.sh,t5408-send-pack-stdin.sh,PASS,1298,10,0,10,10
w90-34be785b-wave-1,t5802-connect-helper.sh,t5802-connect-helper.sh,PASS,1447,8,0,8,8
w90-34be785b-wave-1,t0003-attributes.sh,t0003-attributes.sh,PASS,4452,55,0,55,55
w90-34be785b-wave-1,t1502-rev-parse-parseopt.sh,t1502-rev-parse-parseopt.sh,PASS,717,37,0,37,37
w90-34be785b-wave-1,t3505-cherry-pick-empty.sh,t3505-cherry-pick-empty.sh,PASS,1170,17,0,17,17
w90-34be785b-wave-1,t3900-i18n-commit.sh,t3900-i18n-commit.sh,PASS,2254,38,0,38,38
w90-34be785b-wave-1,t4101-apply-nonl.sh,t4101-apply-nonl.sh,PASS,525,12,0,12,12
w90-34be785b-wave-1,t4051-diff-function-context.sh,t4051-diff-function-context.sh,FAIL,1477,38,4,42,42
w90-34be785b-wave-1,t4201-shortlog.sh,t4201-shortlog.sh,FAIL,1589,28,4,32,32
w90-34be785b-wave-1,t5310-pack-bitmaps.sh,t5310-pack-bitmaps.sh,FAIL,42922,222,15,237,237
w90-34be785b-wave-1,t6002-rev-list-bisect.sh,t6002-rev-list-bisect.sh,PASS,5520,53,0,53,53
w90-34be785b-wave-1,t6120-describe.sh,t6120-describe.sh,FAIL,57686,107,26,133,133
w90-34be785b-wave-1,t7528-signed-commit-ssh.sh,t7528-signed-commit-ssh.sh,PASS,6762,29,0,29,29
w90-34be785b-wave-1,t7300-clean.sh,t7300-clean.sh,PASS,4175,53,2,55,55
w90-34be785b-wave-1,t8001-annotate.sh,t8001-annotate.sh,PASS,7294,117,0,117,117
w90-34be785b-wave-1,t5303-pack-corruption-resilience.sh,t5303-pack-corruption-resilience.sh,PASS,3145,36,0,36,36
w90-34be785b-wave-1,t5811-proto-disable-git.sh,t5811-proto-disable-git.sh,PASS,1285,26,0,26,26
w90-34be785b-wave-1,t4020-diff-external.sh,t4020-diff-external.sh,PASS,5276,72,0,72,72
w90-34be785b-wave-1,t6438-submodule-directory-file-conflicts.sh,t6438-submodule-directory-file-conflicts.sh,PASS,33171,48,8,56,56
w90-34be785b-wave-1,t7800-difftool.sh,t7800-difftool.sh,FAIL,9734,91,4,95,95
w90-34be785b-wave-1,t5400-send-pack.sh,t5400-send-pack.sh,PASS,10768,17,0,17,17
w90-34be785b-wave-1,t7201-co.sh,t7201-co.sh,FAIL,5199,39,10,49,49
w90-34be785b-wave-1,t7604-merge-custom-message.sh,t7604-merge-custom-message.sh,PASS,1035,8,0,8,8
w90-34be785b-wave-1,t7601-merge-pull-config.sh,t7601-merge-pull-config.sh,PASS,5960,65,0,65,65
w90-34be785b-wave-1,t4128-apply-root.sh,t4128-apply-root.sh,PASS,1040,12,0,12,12
w90-34be785b-wave-1,t4257-am-interactive.sh,t4257-am-interactive.sh,PASS,926,4,0,4,4
w90-34be785b-wave-1,t0009-git-dir-validation.sh,t0009-git-dir-validation.sh,PASS,671,6,0,6,6
w90-34be785b-wave-1,t0062-revision-walking.sh,t0062-revision-walking.sh,PASS,474,2,0,2,2
w90-34be785b-wave-1,t0613-reftable-write-options.sh,t0613-reftable-write-options.sh,FAIL,7030,2,9,11,11
w90-34be785b-wave-1,t1009-read-tree-new-index.sh,t1009-read-tree-new-index.sh,PASS,433,3,0,3,3
w90-34be785b-wave-1,t1090-sparse-checkout-scope.sh,t1090-sparse-checkout-scope.sh,FAIL,916,4,3,7,7
w90-34be785b-wave-1,t1350-config-hooks-path.sh,t1350-config-hooks-path.sh,FAIL,1300,3,1,4,4
w90-34be785b-wave-1,t1413-reflog-detach.sh,t1413-reflog-detach.sh,PASS,1421,7,0,7,7
w90-34be785b-wave-1,t1505-rev-parse-last.sh,t1505-rev-parse-last.sh,PASS,826,7,0,7,7
w90-34be785b-wave-1,t1601-index-bogus.sh,t1601-index-bogus.sh,FAIL,382,2,2,4,4
w90-34be785b-wave-1,t2009-checkout-statinfo.sh,t2009-checkout-statinfo.sh,PASS,793,3,0,3,3
w90-34be785b-wave-1,t2022-checkout-paths.sh,t2022-checkout-paths.sh,FAIL,902,3,2,5,5
w90-34be785b-wave-1,t2072-restore-pathspec-file.sh,t2072-restore-pathspec-file.sh,PASS,1177,12,0,12,12
w90-34be785b-wave-1,t2104-update-index-skip-worktree.sh,t2104-update-index-skip-worktree.sh,PASS,478,7,0,7,7
w90-34be785b-wave-1,t2300-cd-to-toplevel.sh,t2300-cd-to-toplevel.sh,FAIL,398,0,5,5,5
w90-34be785b-wave-1,t3004-ls-files-basic.sh,t3004-ls-files-basic.sh,FAIL,506,4,2,6,6
w90-34be785b-wave-1,t3012-ls-files-dedup.sh,t3012-ls-files-dedup.sh,FAIL,623,1,2,3,3
w90-34be785b-wave-1,t3310-notes-merge-manual-resolve.sh,t3310-notes-merge-manual-resolve.sh,PASS,4075,22,0,22,22
w90-34be785b-wave-1,t4007-rename-3.sh,t4007-rename-3.sh,FAIL,663,11,2,13,13
w90-34be785b-wave-1,t4048-diff-combined-binary.sh,t4048-diff-combined-binary.sh,FAIL,1331,4,10,14,14
w90-34be785b-wave-1,t4207-log-decoration-colors.sh,t4207-log-decoration-colors.sh,FAIL,1050,1,3,4,4
w90-34be785b-wave-1,t5301-sliding-window.sh,t5301-sliding-window.sh,PASS,773,6,0,6,6
w90-34be785b-wave-1,t5313-pack-bounds-checks.sh,t5313-pack-bounds-checks.sh,FAIL,1020,3,6,9,9
w90-34be785b-wave-1,t5325-reverse-index.sh,t5325-reverse-index.sh,FAIL,1537,5,11,16,16
w90-34be785b-wave-1,t5553-set-upstream.sh,t5553-set-upstream.sh,PASS,3121,21,0,21,21
w90-34be785b-wave-1,t6011-rev-list-with-bad-commit.sh,t6011-rev-list-with-bad-commit.sh,FAIL,702,3,3,6,6
w90-34be785b-wave-1,t6041-bisect-submodule.sh,t6041-bisect-submodule.sh,FAIL,14168,9,5,14,14
w90-34be785b-wave-1,t6114-keep-packs.sh,t6114-keep-packs.sh,PASS,751,3,0,3,3
w90-34be785b-wave-1,t6301-for-each-ref-errors.sh,t6301-for-each-ref-errors.sh,PASS,621,6,0,6,6
w90-34be785b-wave-1,t6434-merge-recursive-rename-options.sh,t6434-merge-recursive-rename-options.sh,PASS,3709,27,0,27,27
w90-34be785b-wave-1,t7101-reset-empty-subdirs.sh,t7101-reset-empty-subdirs.sh,PASS,553,10,0,10,10
w90-34be785b-wave-1,t7416-submodule-dash-url.sh,t7416-submodule-dash-url.sh,PASS,2623,18,0,18,18
w90-34be785b-wave-1,t7701-repack-unpack-unreachable.sh,t7701-repack-unpack-unreachable.sh,FAIL,1445,0,9,9,9
w90-34be785b-wave-1,t8007-cat-file-textconv.sh,t8007-cat-file-textconv.sh,PASS,1079,15,0,15,15
w90-34be785b-wave-1,t0017-env-helper.sh,t0017-env-helper.sh,PASS,663,5,0,5,5
w90-34be785b-wave-1,t0081-find-pack.sh,t0081-find-pack.sh,PASS,1193,4,0,4,4
w90-34be785b-wave-1,t4121-apply-diffs.sh,t4121-apply-diffs.sh,PASS,538,2,0,2,2
w90-34be785b-wave-1,t4116-apply-reverse.sh,t4116-apply-reverse.sh,PASS,791,7,0,7,7
w90-34be785b-wave-1,t4123-apply-shrink.sh,t4123-apply-shrink.sh,PASS,457,2,0,2,2
w90-34be785b-wave-1,t3050-subprojects-fetch.sh,t3050-subprojects-fetch.sh,PASS,796,4,0,4,4
w90-34be785b-wave-1,t5527-fetch-odd-refs.sh,t5527-fetch-odd-refs.sh,PASS,712,5,0,5,5
w90-34be785b-wave-1,t0029-core-unsetenvvars.sh,t0029-core-unsetenvvars.sh,PASS,344,0,0,0,0
w90-34be785b-wave-1,t0100-previous.sh,t0100-previous.sh,FAIL,1182,5,1,6,6
w90-34be785b-wave-1,t1901-repo-structure.sh,t1901-repo-structure.sh,FAIL,10286,0,5,5,5
w90-34be785b-wave-1,t3321-notes-stripspace.sh,t3321-notes-stripspace.sh,PASS,2733,27,0,27,27
w90-34be785b-wave-1,t3906-stash-submodule.sh,t3906-stash-submodule.sh,FAIL,9877,5,11,16,16
